Manufacturer,MPN,Value,Footprint,Height (mm),Voltage,Tolerance (%),Dielectric,Datasheet
Yageo,CC0402KRX7R8BB104,100n,0402,0.5,25V,10%,X7R,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-250V_23.pdf
Kyocera AVX,12063D226KAT2A,22u,1206,2.29,25V,10%,X5R,https://www.farnell.com/datasheets/3673819.pdf
Kemet,C0603C100C3GACTU,10p,0603,0.8,25V,0.25 pF,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C151G1GACTU,150p,0603,0.8,100V,2%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C162F5GACTU,1n6,0603,0.8,50V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C202F5GACTU,2n,0603,0.8,50V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C519C8GACTU,5p1,0603,0.8,10V,0.25 pF,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C399J5GACTU,3p9,0603,0.8,50V,5%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C510F1GACTU,51p,0603,0.8,100V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C300F5GACTU,30p,0603,0.8,50V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C430F5GACTU,43p,0603,0.8,50V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C221G1GACTU,220p,0603,0.8,100V,2%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C471F1GACTU,470p,0603,0.8,100V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C681F3GACTU,680p,0603,0.8,25V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C122F1GACTU,1n2,0603,0.8,100V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C242F5GACTU,2n4,0603,0.8,50V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C470F1GACTU,47p,0603,0.8,100V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C220K1GACTU,22p,0603,0.8,100V,10%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C200G5GACTU,20p,0603,0.8,50V,2%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C120C5GACTU,12p,0603,0.8,50V,0.25 pF,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C180C5GACTU,18p,0603,0.8,50V,0.25 pF,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C109B5GACTU,1p,0603,0.8,50V,0.1 pF,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C470J5GAC,47p,0603,0.8,50V,5%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C150G5GACTU,15p,0603,0.8,50V,2%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C221G3GACTU,220p,0603,0.8,25V,2%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C201F5GACTU,200p,0603,0.8,50V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C431F5GACTU,430p,0603,0.8,50V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C911F5GACTU,910p,0603,0.8,50V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C621F5GACTU,620p,0603,0.8,50V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C561F5GACTU,560p,0603,0.8,50V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C391F5GACTU,390p,0603,0.8,50V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C151F5GACTU,150p,0603,0.8,50V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C752F3GACTU,7n5,0603,0.8,25V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C122J5GACTU,1n2,0603,0.8,50V,5%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C103G3GACTU,10n,0603,0.8,25V,2%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C153G3GACTU,15n,0603,0.8,25V,2%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C392J3GACTU,3n9,0603,0.8,25V,5%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C103F4GACTU,10n,0603,0.8,16V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C103F3GACTU,10n,0603,0.8,25V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C472J3GACTU,4n7,0603,0.8,25V,5%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C472G5GACTU,4n7,0603,0.8,50V,2%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C103J3GACTU,10n,0603,0.8,25V,5%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C362F5GACTU,3n6,0603,0.8,50V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C472F5GACTU,4n7,0603,0.8,50V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C472J5GACTU,4n7,0603,0.8,50V,5%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C153F3GACTU,15n,0603,0.8,25V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C102F4GACTU,1n,0603,0.8,16V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C122F5GACTU,1n2,0603,0.8,50V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C432J5GACTU,4n3,0603,0.8,50V,5%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C332F5GACTU,3n3,0603,0.8,50V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C222F1GACTU,2n2,0603,0.8,100V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C330KAGACTU,33p,0603,0.8,250V,10%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C360J4GACTU,36p,0603,0.8,16V,5%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C680K4GACTU,68p,0603,0.8,16V,10%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C689C3GACTU,6p8,0603,0.8,25V,0.25 pF,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C150J3GAC7411,15p,0603,0.8,25V,5%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C470G1GACTU,47p,0603,0.8,100V,2%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C369C5GACTU,3p6,0603,0.8,50V,0.25 pF,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C820G3GACTU,82p,0603,0.8,25V,2%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C209C3GACTU,2p,0603,0.8,25V,0.25 pF,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C620F3GACTU,62p,0603,0.8,25V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C300G5GACTU,30p,0603,0.8,50V,2%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C209D5GACTU,2p,0603,0.8,50V,0.5 pF,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C439K5GACTU,4p3,0603,0.8,50V,10%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C180D3GACTU,18p,0603,0.8,25V,0.5 pF,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C470G5GACTU,47p,0603,0.8,50V,2%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C569C1GACTU,5p6,0603,0.8,100V,0.25 pF,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C240J4GACTU,24p,0603,0.8,16V,5%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C829C3GACTU,8p2,0603,0.8,25V,0.25 pF,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C139C5GACTU,1p3,0603,0.8,50V,0.25 pF,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C750G5GACTU,75p,0603,0.8,50V,2%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C200C5GACTU,20p,0603,0.8,50V,0.25 pF,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C339C3GACTU,3p3,0603,0.8,25V,0.25 pF,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C240C5GACTU,24p,0603,0.8,50V,0.25 pF,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C100K2GACTU,10p,0603,0.8,200V,10%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C220K1GAC7411,22p,0603,0.8,100V,10%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C470F5GAC7411,47p,0603,0.8,50V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C479B5GACTU,4p7,0603,0.8,50V,0.1 pF,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C180G1GACTU,18p,0603,0.8,100V,2%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C510G5GACTU,51p,0603,0.8,50V,2%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C689C8GACTU,6p8,0603,0.8,10V,0.25 pF,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C240G3GACTU,24p,0603,0.8,25V,2%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C399B5GACTU,3p9,0603,0.8,50V,0.1 pF,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C159C3GACTU,1p5,0603,0.8,25V,0.25 pF,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C120D3GACTU,12p,0603,0.8,25V,0.5 pF,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C510K5GACTU,51p,0603,0.8,50V,10%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C909C5GACTU,9p,0603,0.8,50V,0.25 pF,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C470G4GACTU,47p,0603,0.8,16V,2%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C910G5GACTU,91p,0603,0.8,50V,2%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C119C5GACTU,1p1,0603,0.8,50V,0.25 pF,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C200K3GACTU,20p,0603,0.8,25V,10%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C360F5GACTU,36p,0603,0.8,50V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C470K8GACTU,47p,0603,0.8,10V,10%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C829J1GACTU,8p2,0603,0.8,100V,5%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C121JAGACTU,120p,0603,0.8,250V,5%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C221K5GAC7411,220p,0603,0.8,50V,10%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C391G5GACTU,390p,0603,0.8,50V,2%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C751G5GACTU,750p,0603,0.8,50V,2%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C151J2GACTU,150p,0603,0.8,200V,5%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C471J4GACTU,470p,0603,0.8,16V,5%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C511K5GACTU,510p,0603,0.8,50V,10%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C361JAGACTU,360p,0603,0.8,250V,5%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C151J4GACTU,150p,0603,0.8,16V,5%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C331F3GACTU,330p,0603,0.8,25V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C391K1GACTU,390p,0603,0.8,100V,10%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C131F5GACTU,130p,0603,0.8,50V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C621K5GACTU,620p,0603,0.8,50V,10%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C511J1GACTU,510p,0603,0.8,100V,5%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C121F1GACTU,120p,0603,0.8,100V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C471F3GACTU,470p,0603,0.8,25V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C111K5GACTU,110p,0603,0.8,50V,10%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C471J8GACTU,470p,0603,0.8,10V,5%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C241K2GACTU,240p,0603,0.8,200V,10%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C511F4GACTU,510p,0603,0.8,16V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C271J2GACTU,270p,0603,0.8,200V,5%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C101F4GAC,100p,0603,0.8,16V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C561G5GACTU,560p,0603,0.8,50V,2%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C271J5GAC7411,270p,0603,0.8,50V,5%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C821J2GACTU,820p,0603,0.8,200V,5%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C471GAGACTU,470p,0603,0.8,250V,2%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C271G2GACTU,270p,0603,0.8,200V,2%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C361F3GACTU,360p,0603,0.8,25V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C301JAGACTU,300p,0603,0.8,250V,5%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C111G5GACTU,110p,0603,0.8,50V,2%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C181G5GACTU,180p,0603,0.8,50V,2%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C431G5GACTU,430p,0603,0.8,50V,2%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C621JAGACTU,620p,0603,0.8,250V,5%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kyocera AVX,06033D105KAT2A,1u,0603,0.95,25V,10%,X5R,https://www.mouser.co.uk/datasheet/2/40/cx5r_KGM-3223198.pdf
